dato;morgen;aften
21-06-2026;37.5;38.5
22-06-2026;38.1;37.7
23-06-2026;36.8;
24-06-2026;37.5;37.7
25-06-2026;37.5;37.5
26-06-2026;36.8;
27-06-2026;37.5;37.9
28-06-2026;37.5;38.3
29-06-2026;37.5;38.3
30-06-2026;37.2;38
01-07-2026;37.4;37.7
02-07-2026;37.5;37.6
03-07-2026;37.1;37.9
04-07-2026;37.5;37.6
05-07-2026;38.2;
06-07-2026;37.3;37.9
07-07-2026;37.4;37.7
08-07-2026;37.7;37.3
09-07-2026;37.8;37.6
10-07-2026;37.6;37.9
11-07-2026;37.2;38.3
12-07-2026;37.5;37.9
13-07-2026;37.6;38.4
14-07-2026;37.7;38.3
15-07-2026;36.7;38.1
16-07-2026;38.1;
17-07-2026;37.7;38.1
18-07-2026;37.9;38
19-07-2026;37.4;38.1
20-07-2026;37.4;37.7
21-07-2026;37.2;38
22-07-2026;37.3;
23-07-2026;37.1;37.9
24-07-2026;37.6;38.5
25-07-2026;37.2;37.9
26-07-2026;37.4;37.9
27-07-2026;37.2;37.9
28-07-2026;37.7;38.4
29-07-2026;37.6;38
30-07-2026;37.8;
31-07-2026;;37.5
01-08-2026;37.1;37.8
02-08-2026;38.1;37.9
03-08-2026;37;38.4
04-08-2026;37.9;38.8
05-08-2026;37.9;38.2
06-08-2026;37.7;38.2
07-08-2026;37;38.2
08-08-2026;37.4;37.5
09-08-2026;37.1;38.1
10-08-2026;37;38.1
11-08-2026;37.4;37.8
12-08-2026;37.5;37.9
13-08-2026;37;38.1
14-08-2026;37.3;38.1
15-08-2026;36.9;38.2
16-08-2026;36.8;38.4
17-08-2026;37.1;38.1
18-08-2026;37.3;37.3
19-08-2026;37.3;37.5
20-08-2026;37.9;37.7
21-08-2026;38.8;39.4
22-08-2026;38.8;38.8
23-08-2026;38.1;38.1
24-08-2026;37.8;38.4
25-08-2026;37.8;
26-08-2026;37.6;37.9
27-08-2026;37.3;37.9
28-08-2026;36.8;37.7
29-08-2026;37.1;37.5
30-08-2026;37;37.8
31-08-2026;37.2;37.4
01-09-2026;37.1;37.4
02-09-2026;37.2;37.7
03-09-2026;37.3;37
04-09-2026;37.2;38
05-09-2026;37.1;38
06-09-2026;37.2;37.4
07-09-2026;37.1;37.7
08-09-2026;37.3;37.5
09-09-2026;36.7;37.5
10-09-2026;36;37.4
11-09-2026;36.7;37.3
12-09-2026;37.6;
13-09-2026;37.4;37.7
14-09-2026;37.6;38.1
15-09-2026;37.5;36.9
16-09-2026;37.2;37.8
17-09-2026;37.8;38.1
18-09-2026;36.6;37.6
19-09-2026;37.3;37.9
20-09-2026;37.7;37.4
21-09-2026;37.3;37.6
